Rosay	person-other
Davis-Monthan	organization-other
Air	organization-other
Force	organization-other
Bases	organization-other
began	O
deployments	O
of	O
A-7Ds	product-airplane
to	O
Howard	organization-other
AFB	organization-other
,	O
Panama	location-GPE
to	O
train	O
with	O
Army	O
and	O
Naval	O
forces	O
defending	O
the	O
Panama	location-bodiesofwater
Canal	location-bodiesofwater
.	O

Lockheed	organization-company
Martin	organization-company
has	O
applied	O
the	O
term	O
``	O
fifth-generation	O
''	O
for	O
its	O
F-22	product-airplane
and	O
F-35	product-airplane
aircraft	O
,	O
to	O
imply	O
their	O
competition	O
is	O
unable	O
to	O
offer	O
similar	O
levels	O
of	O
performance	O
,	O
a	O
classification	O
debated	O
by	O
Eurofighter	organization-company
,	O
and	O
by	O
Boeing	organization-company
IDS	organization-company
for	O
the	O
bid	O
to	O
replace	O
Canadian	organization-other
Forces	organization-other
jets	O
.	O

The	O
Boeing	product-airplane
F/A-18E/F	product-airplane
Super	product-airplane
Hornet	product-airplane
also	O
joined	O
the	O
tendering	O
.	O

As	O
of	O
2015	O
,	O
Mesa	organization-company
's	organization-company
United	organization-company
Express	organization-company
operations	O
consisted	O
of	O
Embraer	product-airplane
175	product-airplane
flying	O
out	O
of	O
the	O
Houston	organization-company
hub	O
and	O
CRJ-700	product-airplane
flying	O
out	O
of	O
the	O
Washington	location-road,railway,highway,transit
Dulles	location-road,railway,highway,transit
hub	location-road,railway,highway,transit
.	O

By	O
2011	O
,	O
the	O
Bulgarian	organization-company
Air	organization-company
Charter	organization-company
fleet	O
had	O
grown	O
to	O
12	O
MD-80s	product-airplane
.	O

On	O
1	O
April	O
2010	O
,	O
NSW	location-GPE
reverted	O
to	O
the	O
identity	O
of	O
800	product-airplane
NAS	product-airplane
,	O
flying	O
the	O
Harrier	product-airplane
GR9	product-airplane
and	O
GR9A	product-airplane
variants	O
.	O

The	O
French	location-GPE
Bousson-Borgnis	product-airplane
canard	product-airplane
triplane	product-airplane
of	O
1908	O
was	O
a	O
failure	O
.	O

On	O
May	O
19	O
,	O
2017	O
,	O
two	O
Chinese	product-airplane
Su-30	product-airplane
fighter	product-airplane
jets	product-airplane
intercepted	O
a	O
WC-135	product-airplane
over	O
the	O
East	location-bodiesofwater
China	location-bodiesofwater
Sea	location-bodiesofwater
,	O
prompting	O
a	O
formal	O
complaint	O
from	O
the	building-other
Pentagon	building-other
.	O

Over	O
the	O
next	O
decade	O
,	O
the	O
company	O
introduced	O
the	O
F-106	product-airplane
Delta	product-airplane
Dart	product-airplane
Interceptor	product-airplane
,	O
the	product-airplane
B-58	product-airplane
Hustler	product-airplane
,	O
and	O
the	O
Convair	product-airplane
880	product-airplane
and	product-airplane
990	product-airplane
airliners	product-airplane
.	O

In	O
June	O
1960	O
the	O
90th	O
wing	O
became	O
non-operational	O
and	O
the	O
squadron	O
was	O
reassigned	O
to	O
the	O
40th	O
Bombardment	O
Wing	O
,	O
also	O
located	O
at	O
Forbes	location-other
,	O
until	O
it	O
was	O
inactivated	O
with	O
the	O
phaseout	O
of	O
the	O
KC-97	product-airplane
from	O
SAC	O
.	O

Such	O
a	O
TPS	product-other
concept	O
was	O
proposed	O
for	O
the	O
X-30	product-airplane
National	product-airplane
Aerospace	product-airplane
Plane	product-airplane
(	O
NASP	product-airplane
)	O
.	O

During	O
the	O
1967	O
Arab-Israeli	event-attack,battle,war,militaryconflict
War	event-attack,battle,war,militaryconflict
,	O
the	O
station	O
was	O
attacked	O
by	O
the	O
Israeli	organization-other
Air	organization-other
Force	organization-other
,	O
and	O
many	O
of	O
its	O
Soviet	location-GPE
-built	O
MiG-17	product-airplane
aircraft	O
were	O
destroyed	O
on	O
the	O
ramp	O
by	O
the	O
IAF	organization-other
's	O
Dassault	product-airplane
Mystère	product-airplane
IVs	product-airplane
.	O

flew	O
Nieuports	product-airplane
early	O
in	O
his	O
career	O
with	O
40	organization-other
Squadron	organization-other
.	O

During	O
the	O
1982	O
Falklands	event-attack,battle,war,militaryconflict
War	event-attack,battle,war,militaryconflict
,	O
Argentina	location-GPE
deployed	O
48	O
Skyhawk	product-airplane
warplanes	O
(	O
26	O
A-4B	O
,	O
12	O
A-4C	O
and	O
10	O
A-4Q	O
aircraft	O
)	O
.	O

During	O
his	O
three	O
years	O
there	O
,	O
he	O
helped	O
establish	O
its	O
first	O
wing	O
of	O
Gloster	product-airplane
Meteor	product-airplane
jet	O
fighters	O
.	O

On	O
the	O
first	O
flight	O
of	O
the	O
United	organization-other
States	organization-other
Navy	organization-other
Hall	organization-other
XP2H-1	O
four-engine	O
flying	O
boat	O
,	O
BuNo	product-airplane
``	product-airplane
A-8729	product-airplane
''	product-airplane
,	O
at	O
Naval	location-other
Air	location-other
Station	location-other
Anacostia	location-other
,	O
Washington	location-GPE
,	location-GPE
D.C	location-GPE
.	O
,	O
on	O
15	O
November	O
1932	O
,	O
it	O
nosed	O
straight	O
up	O
on	O
take-off	O
due	O
to	O
an	O
incorrectly	O
rigged	O
stabilizer	O
.	O

On	O
9	O
September	O
1989	O
the	O
35th	organization-other
Combat	organization-other
Squadron	organization-other
(	O
Night	O
Attack	O
)	O
replaced	O
its	O
Lockheed	product-airplane
T-33	product-airplane
Shooting	product-airplane
Star	product-airplane
trainers	product-airplane
with	O
AT-3s	product-airplane
painted	O
in	O
SE	location-GPE
Asia	location-GPE
jungle	O
colors	O
.	O

Leased	O
on	O
August	O
25	O
,	O
the	O
first	O
airplane	O
,	O
a	O
Wright	product-airplane
Type	product-airplane
A	product-airplane
biplane	product-airplane
,	O
was	O
uncrated	O
and	O
assembled	O
on	O
October	O
7	O
.	O

They	O
did	O
so	O
,	O
parachuting	O
from	O
over	O
a	O
hundred	O
C-119	product-airplane
Flying	product-airplane
Boxcar	product-airplane
transport	O
aircraft	O
.	O

The	O
Peruvian	location-GPE
Air	organization-other
Force	organization-other
uses	O
Russian	location-GPE
equipment	O
such	O
as	O
MiG-29	product-airplane
jet	O
fighters	O
.	O

Corporate	product-airplane
Airlines	product-airplane
Flight	product-airplane
5966	O
was	O
a	O
scheduled	O
passenger	O
flight	O
from	O
St.	location-GPE
Louis	location-GPE
,	O
Missouri	location-GPE
to	O
Kirksville	location-GPE
,	O
Missouri	location-GPE
.	O

Western	organization-company
operated	O
Convair	product-airplane
240	product-airplane
and	O
Douglas	product-airplane
DC-6B	product-airplane
propeller	O
aircraft	O
into	O
the	O
airport	O
during	O
the	O
1950s	O
and	O
early	O
1960s	O
.	O

There	O
was	O
a	O
connecting	O
service	O
via	O
Bora	location-road,railway,highway,transit
Bora	location-road,railway,highway,transit
Airport	location-road,railway,highway,transit
(	O
BOB	location-road,railway,highway,transit
)	O
to	O
Los	location-GPE
Angeles	location-GPE
with	O
an	O
en	O
route	O
stop	O
in	O
Honolulu	location-GPE
flown	O
by	O
Transports	organization-company
Aeriens	organization-company
Intercontinentaux	organization-company
(	O
TAI	organization-company
)	O
,	O
which	O
was	O
serving	O
Bora	location-GPE
Bora	location-GPE
in	O
1960	O
with	O
Douglas	product-airplane
DC-7C	product-airplane
propliners	product-airplane
.	O

Two	O
B-1	product-airplane
bombers	product-airplane
from	O
Ellsworth	organization-other
Air	organization-other
Force	organization-other
Base	organization-other
attacked	O
undisclosed	O
targets	O
in	O
Libya	location-GPE
.	O

As	O
the	O
United	location-GPE
States	location-GPE
built	O
up	O
its	O
forces	O
in	O
Southeast	O
Asia	location-GPE
in	O
the	O
early	O
1960s	O
,	O
the	O
number	O
of	O
MATS	product-airplane
flights	O
to	O
the	O
area	O
increased	O
.	O

One	O
F-14	product-airplane
fired	O
an	O
AIM-54	product-airplane
Phoenix	product-airplane
at	O
the	O
MiG	product-airplane
but	O
missed	O
and	O
the	O
MiG	product-airplane
headed	O
back	O
north	O
.	O

The	O
Voyager	product-airplane
was	O
then	O
completely	O
re-engineered	O
by	O
Stinson	person-other
into	O
a	O
much	O
stronger	O
and	O
more	O
powerful	O
tandem-seat	O
airplane	O
that	O
met	O
rigorous	O
Army	O
engineering	O
handbook	O
standards	O
for	O
the	O
design	O
of	O
military	O
aircraft	O
.	O

The	O
Avianca	product-airplane
Flight	product-airplane
52	product-airplane
aircraft	O
was	O
a	O
Boeing	product-airplane
707-321B	product-airplane
(	O
registration	O
number	O
HK-2016	O
)	O
.	O

He	O
arrived	O
back	O
in	O
the	O
UK	location-GPE
on	O
September	O
11	O
,	O
1942	O
,	O
destined	O
to	O
train	O
as	O
a	O
bomber	O
pilot	O
,	O
after	O
conversion	O
to	O
twin-engined	O
aircraft	O
,	O
flying	O
the	O
Airspeed	product-airplane
Oxford	product-airplane
at	O
No	O
.	O

A	O
second	O
aeroplane	O
,	O
a	O
Boeing	product-airplane
747-300	product-airplane
,	O
was	O
painted	O
in	O
1995	O
and	O
is	O
known	O
as	O
``	O
Nalanji	product-airplane
Dreaming	product-airplane
``	O
(	O
)	O
.	O

After	O
the	O
war	O
the	O
HAF	product-airplane
re-equipped	O
with	O
aircraft	O
from	O
United	organization-government,governmentagency
States	organization-government,governmentagency
Army	organization-government,governmentagency
Air	organization-government,governmentagency
Forces	organization-government,governmentagency
and	O
Royal	organization-government,governmentagency
Canadian	organization-government,governmentagency
Air	organization-government,governmentagency
Force	organization-government,governmentagency
stocks	O
including	O
five	O
Lockheed	product-airplane
P-38	product-airplane
Lightnings	product-airplane
and	O
five	O
Bell	product-airplane
P-63	product-airplane
Kingcobras	product-airplane
which	O
were	O
its	O
first	O
high	O
performance	O
fighters	O
.	O

The	O
squadron	O
had	O
between	O
22	O
and	O
27	O
airframes	O
while	O
operating	O
the	O
Thunderjets	product-airplane
.	O

On	O
26	O
May	O
1991	O
,	O
at	O
23:02	O
ICT	O
,	O
flight	O
NG004	O
(	O
originating	O
from	O
Hong	location-GPE
Kong	location-GPE
's	location-GPE
Kai	location-GPE
Tak	location-GPE
Airport	location-GPE
)	O
,	O
a	O
Boeing	product-airplane
767-3Z9ER	product-airplane
,	O
took	O
off	O
from	O
Don	location-GPE
Mueang	location-GPE
International	location-GPE
Airport	location-GPE
for	O
its	O
flight	O
to	O
Vienna	location-GPE
International	location-GPE
Airport	location-GPE
with	O
213	O
passengers	O
and	O
ten	O
crew	O
,	O
under	O
the	O
command	O
of	O
American	location-GPE
Captain	O
Thomas	person-other
J.	person-other
Welch	person-other
(	O
48	O
)	O
and	O
Austrian	location-GPE
First	O
Officer	O
Josef	person-other
Thurner	person-other
(	O
41	O
)	O
.	O

For	O
a	O
short	O
while	O
,	O
QantasLink	organization-company
took	O
over	O
some	O
of	O
Qantas	organization-company
'	organization-company
non-trunk	O
routes	O
,	O
such	O
as	O
Sydney	location-road,railway,highway,transit
-	location-road,railway,highway,transit
Sunshine	location-road,railway,highway,transit
Coast	location-road,railway,highway,transit
,	O
using	O
Boeing	product-airplane
717s	product-airplane
that	O
were	O
inherited	O
after	O
Qantas	organization-company
acquired	O
Impulse	organization-company
Airlines	organization-company
.	O

Two	O
airlines	O
based	O
in	O
Iceland	location-GPE
also	O
operated	O
combi	O
aircraft	O
including	O
Icelandair	O
flying	O
Boeing	product-airplane
727-100	product-airplane
and	O
Boeing	product-airplane
737-200	product-airplane
combis	O
,	O
and	O
Eagle	organization-company
Air	organization-company
(	O
Iceland	location-GPE
)	O
flying	O
Boeing	product-airplane
737-200	product-airplane
combis	O
.	O

Subsequently	O
,	O
overseas	O
deployments	O
involved	O
the	O
simultaneous	O
participation	O
of	O
several	O
bomb	O
wings	O
engaging	O
in	O
global	O
strategic	O
bombardment	O
training	O
and	O
global	O
air	O
refueling	O
with	O
the	O
Stratojet	product-airplane
.	O

He	O
added	O
nine	O
victories—eight	O
bombers	O
and	O
one	O
Polikarpov	product-airplane
I-16	product-airplane
``	product-airplane
Rata	product-airplane
''	product-airplane
fighter	product-airplane
—in	O
this	O
theater	O
of	O
operations	O
.	O

The	O
Fokker	product-airplane
F27	product-airplane
began	O
life	O
as	O
a	O
1950	O
design	O
study	O
known	O
as	O
the	O
P275	product-airplane
,	O
a	O
32-seater	O
powered	O
by	O
two	O
Rolls-Royce	product-other
Dart	product-other
turboprops	O
.	O

In	O
more	O
recent	O
conflicts	O
,	O
special	O
operations	O
forces	O
(	O
SOF	O
)	O
have	O
taken	O
part	O
in	O
BDA	event-other
,	O
both	O
through	O
physical	O
presence	O
,	O
and	O
conducting	O
overflies	O
with	O
equipment	O
such	O
as	O
the	O
RQ-4	product-airplane
Global	product-airplane
Hawk	product-airplane
UAV	product-airplane
.	O

A	O
total	O
of	O
17	product-airplane
Panther	product-airplane
IIs	product-airplane
were	O
made	O
in	O
Norway	location-GPE
,	O
seven	O
for	O
Navy	O
and	O
ten	O
for	O
Army	O
aircraft	O
.	O

The	O
licence	O
production	O
ended	O
in	O
1938	O
as	O
import	O
engines	O
became	O
freely	O
available	O
at	O
a	O
low	O
cost	O
after	O
the	O
Panther	product-airplane
II	product-airplane
was	O
abandoned	O
by	O
the	O
UK	location-GPE
armed	O
forces	O
as	O
it	O
could	O
no	O
longer	O
be	O
used	O
to	O
propel	O
the	O
increasingly	O
powerful	O
British	location-GPE
aircraft	O
.	O

Roy	O
Chadwick	O
,	O
chief	O
designer	O
of	O
Avro	organization-company
,	O
initially	O
produced	O
a	O
single-engined	O
design	O
,	O
the	O
Avro	product-airplane
556	product-airplane
powered	O
by	O
a	O
Napier	product-airplane
Cub	product-airplane
engine	O
,	O
similar	O
to	O
the	O
Cubaroo	product-airplane
.	O

St.	O
Clair	O
Streett	O
commanded	O
7	O
men	O
in	O
4	O
DH-4s	product-airplane
as	O
they	O
took	O
off	O
from	O
Mitchel	location-other
Field	location-other
on	O
17	O
July	O
1920	O
.	O

However	O
,	O
this	O
project	O
also	O
came	O
to	O
naught	O
,	O
leaving	O
the	O
role	O
of	O
a	O
U.S.	organization-other
Navy	organization-other
ship-to-shore	O
missile	O
unfilled	O
until	O
the	O
arrival	O
of	O
the	O
BGM-109	product-airplane
Tomahawk	product-airplane
during	O
the	O
1980s	O
.	O

In	O
July	O
2015	O
,	O
it	O
was	O
announced	O
that	O
Edelweiss	organization-company
would	O
receive	O
four	O
Airbus	product-airplane
A340-300s	product-airplane
between	O
2017	O
and	O
2018	O
previously	O
operated	O
by	O
its	O
parent	O
Swiss	organization-company
International	organization-company
Air	organization-company
Lines	organization-company
.	O

Test	O
pilot	O
Larry	person-other
Neal	person-other
claimed	O
that	O
the	O
CarterCopter	product-airplane
is	O
a	O
challenge	O
to	O
fly	O
because	O
it	O
is	O
a	O
combination	O
of	O
helicopter	O
,	O
autogyro	O
and	O
fixed-wing	O
aircraft	O
.	O

34	O
was	O
a	O
reconnaissance	O
wing	O
in	O
2nd	O
Tactical	O
Air	O
Force	O
at	O
RAF	organization-other
Northolt	O
with	O
Nos	O
16	O
(	O
Spitfire	product-airplane
PRXI	product-airplane
)	O
,	O
69	O
(	O
Wellington	product-airplane
XIII	product-airplane
)	O
and	O
140	O
(	O
Mosquito	product-airplane
PRIX/XVI	product-airplane
)	O
Squadrons	O
;	O

The	O
Continental	organization-other
Connection	organization-other
service	O
nonstop	O
to	O
Houston	location-other
Intercontinental	location-other
was	O
flown	O
by	O
Colgan	organization-company
Air	organization-company
Saab	product-airplane
340	product-airplane
s	O
.	O

As	O
a	O
cadet	O
of	O
the	O
Imperial	organization-other
Iranian	organization-other
Air	organization-other
Force	organization-other
,	O
he	O
was	O
sent	O
to	O
the	O
United	location-GPE
States	location-GPE
in	O
August	O
1978	O
to	O
continue	O
his	O
pilot	O
training	O
,	O
and	O
was	O
one	O
of	O
43	O
cadet	O
pilots	O
in	O
the	O
one-year	O
pilot	O
training	O
program	O
at	O
the	O
former	O
Reese	organization-other
Air	organization-other
Force	organization-other
Base	organization-other
,	organization-other
TX	organization-other
,	O
which	O
included	O
flying	O
the	O
Cessna	product-airplane
T-37	product-airplane
Tweet	product-airplane
and	O
Northrop	product-airplane
T-38	product-airplane
Talon	product-airplane
.	O

The	O
MiG-23	product-airplane
's	O
designers	O
kept	O
the	O
MiG-23	product-airplane
light	O
and	O
agile	O
enough	O
to	O
dogfight	O
with	O
enemy	O
fighters	O
.	O

The	O
particular	O
trajectory	O
taken	O
by	O
SMART-1	product-airplane
to	O
the	O
Moon	O
required	O
thrusting	O
for	O
about	O
one	O
third	O
to	O
one	O
half	O
of	O
every	O
orbit	O
.	O

Flying	O
from	O
32,000	O
ft	O
,	O
in	O
a	O
succession	O
of	O
dives	O
to	O
speeds	O
initially	O
to	O
Mach	O
0.6	O
,	O
he	O
succeeded	O
in	O
diving	O
the	O
Tudor	product-airplane
up	O
to	O
Mach	O
0.7	O
,	O
an	O
unusual	O
figure	O
for	O
such	O
a	O
large	O
piston-engined	O
aeroplane	O
,	O
this	O
speed	O
figure	O
being	O
dictated	O
by	O
the	O
pilot	O
's	O
discretion	O
,	O
as	O
pulling	O
the	O
aircraft	O
out	O
of	O
the	O
dive	O
had	O
required	O
the	O
combined	O
efforts	O
of	O
both	O
Brown	person-other
and	O
his	O
second	O
pilot	O
.	O

Chief	O
Warrant	O
Officer	O
Mike	person-soldier
Durant	person-soldier
was	O
already	O
defending	O
the	O
aircraft	O
with	O
an	O
MP-5	product-airplane
but	O
was	O
unable	O
to	O
move	O
from	O
his	O
chair	O
due	O
to	O
a	O
crushed	O
vertebra	O
in	O
his	O
back	O
and	O
a	O
compound	O
fracture	O
of	O
his	O
left	O
femur	O
.	O

During	O
the	O
Vietnam	event-attack,battle,war,militaryconflict
War	event-attack,battle,war,militaryconflict
,	O
B-52	product-airplane
's	product-airplane
and	O
KC-135	product-airplane
's	product-airplane
(	O
917th	organization-other
ARS	organization-other
)	O
from	O
the	O
96th	organization-other
BW	organization-other
participated	O
heavily	O
in	O
various	O
air	O
campaigns	O
,	O
including	O
Arc	event-attack,battle,war,militaryconflict
Light	event-attack,battle,war,militaryconflict
,	O
Young	event-attack,battle,war,militaryconflict
Tiger	event-attack,battle,war,militaryconflict
,	O
Bullet	event-attack,battle,war,militaryconflict
Shot	event-attack,battle,war,militaryconflict
,	O
Linebacker	event-attack,battle,war,militaryconflict
and	O
Linebacker	event-attack,battle,war,militaryconflict
II	event-attack,battle,war,militaryconflict
missions	O
over	O
North	location-GPE
and	location-GPE
South	location-GPE
Vietnam	location-GPE
.	O

It	O
reformed	O
at	O
RAF	location-other
Odiham	location-other
on	O
15	O
September	O
1961	O
,	O
from	O
the	O
Belvedere	location-other
Trials	location-other
Unit	location-other
equipped	O
with	O
Bristol	product-airplane
Belvedere	product-airplane
helicopters	product-airplane
.	O

The	O
current	O
Honduran	organization-government,governmentagency
presidential	O
aircraft	O
are	O
an	O
Embraer	product-airplane
Legacy	product-airplane
600	product-airplane
jet	O
,	O
donated	O
by	O
the	O
Taiwanese	organization-government,governmentagency
Government	organization-government,governmentagency
;	O
and	O
a	O
Bell	product-airplane
412	product-airplane
helicopter	O
.	O

The	O
first	O
MQ-9	product-airplane
Reaper	product-airplane
airstrike	O
took	O
place	O
on	O
10	O
October	O
2014	O
.	O

The	O
Tabor	organization-other
was	O
originally	O
planned	O
as	O
a	O
biplane	product-airplane
powered	O
by	O
four	O
600	O
hp	O
Siddeley	product-other
Tiger	product-other
engines	product-other
.	O

The	O
prototype	O
and	O
development	O
aircraft	O
were	O
involved	O
in	O
an	O
intensive	O
operational	O
testing	O
programme	O
,	O
along	O
with	O
the	O
first	O
C-141	product-airplane
to	O
be	O
delivered	O
to	O
MATS	organization-other
(	O
63-8078	O
)	O
on	O
19	O
October	O
1964	O
to	O
the	organization-other
1707th	organization-other
Air	organization-other
Transport	organization-other
Wing	organization-other
,	O
Heavy	O
(	O
Training	O
)	O
,	O
Tinker	organization-government,governmentagency
Air	organization-government,governmentagency
Force	organization-government,governmentagency
Base	organization-government,governmentagency
,	O
Oklahoma	location-GPE
.	O

The	O
Antares	product-airplane
system	O
has	O
been	O
upgraded	O
with	O
newly	O
built	O
RD-181	product-other
first-stage	O
engines	O
to	O
provide	O
greater	O
payload	O
performance	O
and	O
increased	O
reliability	O
.	O

Reconnaissance	product-airplane
RB-36s	product-airplane
were	O
deployed	O
to	O
Yokota	location-other
Air	location-other
Base	location-other
in	O
late	O
1952	O
.	O

The	O
Goupy	product-airplane
No.1	product-airplane
,	O
designed	O
in	O
1908	O
by	O
Ambroise	person-other
Goupy	person-other
and	O
built	O
by	O
Voisin	person-other
,	O
was	O
more	O
successful	O
.	O

Rocky	organization-company
Mountain	organization-company
Airways	organization-company
briefly	O
flew	O
to	O
Denver	location-GPE
in	O
January	O
1979	O
using	O
de	product-airplane
Havilland	product-airplane
Canada	product-airplane
DHC-7	product-airplane
Dash	product-airplane
7s	product-airplane
.	O

A	O
few	O
seconds	O
later	O
,	O
controllers	O
turned	O
their	O
attention	O
to	O
the	O
Eastern	O
L-1011	product-airplane
,	O
telling	O
them	O
that	O
Air	organization-company
Caribbean	organization-company
flight	O
309	O
would	O
now	O
be	O
following	O
them	O
for	O
final	O
descent	O
.	O

The	O
XBT2D-1	product-airplane
made	O
its	O
first	O
flight	O
on	O
18	O
March	O
1945	O
and	O
in	O
April	O
1945	O
,	O
the	O
USN	organization-other
began	O
evaluation	O
of	O
the	O
aircraft	O
at	O
the	O
Naval	organization-other
Air	organization-other
Test	organization-other
Center	organization-other
(	O
NATC	organization-other
)	O
.	O

Wounded	O
troops	O
were	O
evacuated	O
to	O
nearby	O
Camp	building-other
Wright	building-other
,	O
where	O
members	O
of	O
E	organization-other
Troop	organization-other
,	O
2/17th	organization-other
Cavalry	organization-other
,	O
101st	organization-other
Airborne	organization-other
Division	organization-other
would	O
wait	O
to	O
rearm	O
and	O
refuel	O
the	O
UH-60s	product-airplane
and	O
AH-64s	product-airplane
.	O

The	O
UH-1N	product-airplane
was	O
later	O
developed	O
into	O
the	O
civilian	O
Bell	product-airplane
212	product-airplane
.	O

The	O
LVG	product-airplane
G.I	product-airplane
was	O
a	O
three-seat	O
biplane	O
equipped	O
with	O
two	O
Benz	product-other
Bz.III	product-other
engines	O
driving	O
handed	O
propellers	O
.	O

The	O
group	O
is	O
an	O
operational	O
component	O
of	O
the	O
12th	organization-other
Wing	organization-other
,	O
flying	O
the	O
Beechcraft	product-airplane
T-6	product-airplane
Texan	product-airplane
II	product-airplane
and	O
T-1	product-airplane
Jayhawk	product-airplane
.	O

He	O
did	O
not	O
score	O
a	O
victory	O
until	O
2	O
July	O
1918	O
,	O
when	O
he	O
teamed	O
with	O
John	person-other
MacArthur	person-other
and	O
four	O
other	O
pilots	O
to	O
destroy	O
a	O
pair	O
of	O
Fokker	product-airplane
D.VIIs	product-airplane
.	O

He	O
oversaw	O
the	O
Canadian	location-GPE
portion	O
of	O
the	O
investigation	O
of	O
the	O
Swissair	product-airplane
Flight	product-airplane
111	product-airplane
air	O
crash	O
.	O

Frontier	organization-company
's	O
service	O
was	O
replaced	O
by	O
Pioneer	organization-company
Airlines	organization-company
Swearingen	product-airplane
Metroliners	product-airplane
nonstop	O
to	O
Denver	location-GPE
,	O
code	O
sharing	O
flights	O
as	O
Continental	organization-company
Express	organization-company
for	O
Continental	organization-company
Airlines	organization-company
.	O

Design	O
of	O
the	O
Cygnus	product-airplane
started	O
in	O
April	O
1970	O
in	O
the	O
Department	organization-other
of	organization-other
Mechanical	organization-other
Engineering	organization-other
,	O
building	O
the	O
aircraft	O
started	O
in	O
June	O
1970	O
,	O
the	O
Cygnus	product-airplane
flew	O
for	O
the	O
first	O
time	O
on	O
16	O
December	O
1971	O
.	O

The	O
jets	O
produced	O
two	O
sonic	O
booms	O
over	O
the	O
Seattle	location-GPE
skyline	O
,	O
the	O
civilian	O
Cessna	product-airplane
182	product-airplane
left	O
restricted	O
airspace	O
before	O
the	O
jets	O
arrived	O
.	O

From	O
the	O
1970s	O
airliners	O
used	O
inertial	O
navigation	O
systems	O
,	O
especially	O
on	O
inter-continental	O
routes	O
,	O
until	O
the	O
shooting	O
down	O
of	O
Korean	product-airplane
Air	product-airplane
Lines	product-airplane
Flight	product-airplane
007	product-airplane
in	O
1983	O
prompted	O
the	O
US	location-GPE
government	O
to	O
make	O
GPS	O
available	O
for	O
civilian	O
use	O
.	O

The	O
B-534	product-airplane
entered	O
three	O
of	O
the	O
competitions	O
.	O

A	O
west	O
coast	O
Fleet	organization-other
Replacement	organization-other
Squadron	organization-other
(	O
FRS	organization-other
)	O
,	O
Helicopter	organization-other
Maritime	organization-other
Strike	organization-other
Squadron	organization-other
(	O
HSM	organization-other
)	O
41	O
,	O
received	O
the	O
MH-60R	product-airplane
aircraft	product-airplane
in	O
December	O
2005	O
and	O
began	O
training	O
the	O
first	O
set	O
of	O
pilots	O
.	O

It	O
powered	O
several	O
experimental	O
aircraft	O
and	O
also	O
the	O
later	O
production	O
versions	O
of	O
the	O
Caudron	O
G.3	product-airplane
reconnaissance	product-airplane
aircraft	product-airplane
,	O
the	O
Caudron	product-airplane
G.4	product-airplane
bomber/trainer	product-airplane
and	O
the	O
first	O
production	O
Cessna	organization-company
,	O
the	O
Model	O
AA	O
.	O

There	O
were	O
also	O
at	O
least	O
three	O
private	O
Canadair	product-airplane
CL-215s	product-airplane
,	O
four	O
Government	organization-government,governmentagency
of	organization-government,governmentagency
Alberta	organization-government,governmentagency
owned	O
Canadair	product-airplane
CL-215s	product-airplane
,	O
four	O
private	O
Lockheed	product-airplane
L188	product-airplane
Electra	product-airplane
air	product-airplane
tankers	product-airplane
and	O
at	O
least	O
one	O
Martin	product-airplane
Mars	product-airplane
air	product-airplane
